order,total_species,order_name_descriptive,order_name_short,order_with_desc,,
Passeriformes,6297,Perching birds (Songbirds),Perching birds,Passeriformes (Perching birds),,
Caprimulgiformes,591,"Nightjars, Nighthawks, Oilbirds, Owlet-nightjars, Frogmouths, and Potoos",Nightjars and allies,Caprimulgiformes (Nightjars and allies),,
Charadriiformes,380,"Shorebirds, Gulls, and Auks","Shorebirds, Gulls, and Auks","Charadriiformes (Shorebirds, Gulls, and Auks)",,
Piciformes,375,Woodpeckers and allies,Woodpeckers and allies,Piciformes (Woodpeckers and allies),,
Psittaciformes,373,Parrots,Parrots,Psittaciformes (Parrots),,
Columbiformes,340,Pigeons and Doves,Pigeons and Doves,Columbiformes (Pigeons and Doves),,
Galliformes,292,"Wildfowl (Turkey, Chicken, Grouse, Partridge, Pheasant, Quail, etc.)",Wildfowl,Galliformes (Wildfowl),,
Accipitriformes,249,"Hawks, Eagles, Old World Vultures, Osprey, Secretarybird","Hawks, Eagles, and allies","Accipitriformes (Hawks, Eagles, and allies)",,
Strigiformes,225,Owls,Owls,Strigiformes (Owls),,
Coraciiformes,181,"Kingfishers, Bee-eaters, Rollers, Motmots, and Todies","Kingfishers, Bee-eaters, and allies","Coraciiformes (Kingfishers, Bee-eaters, and allies)",,
Gruiformes,178,Cranes and allies,Cranes and allies,Gruiformes (Cranes and allies),,
Cuculiformes,169,Cuckoos,Cuckoos,Cuculiformes (Cuckoos),,
Anseriformes,168,Waterfowl and Screamers,Waterfowl and Screamers,Anseriformes (Waterfowl and Screamers),,
Procellariiformes,134,"Tubenoses (Albatrosses, Petrels, Shearwaters, Storm Petrels, and Diving Petrels)",Albatrosses and Petrels,Procellariiformes (Albatrosses and Petrels),,     
Pelecaniformes,108,"Pelicans, Herons, Egrets, Ibises, Spoonbills, Shoebills, Hamerkop","Pelicans, Herons, and allies","Pelecaniformes (Pelicans, Herons, and allies)",,
Bucerotiformes,71,"Hornbills, Hoopoe, and Wood-hoopoes",Hornbills and allies,Bucerotiformes (Hornbills and allies),,
Falconiformes,65,Falcons,Falcons,Falconiformes (Falcons),,
Suliformes,59,"Frigatebirds, Boobies, Gannets, Anhingas, Cormorants, and Shags","Cormorants, Frigatebirds, and allies","Suliformes (Cormorants, Frigatebirds, and allies)",,
Galbuliformes,54,Puffbirds and Jacamars,Puffbirds and Jacamars,Galbuliformes (Puffbirds and Jacamars),,
Tinamiformes,47,Tinamous,Tinamous,Tinamiformes (Tinamous),,
Trogoniformes,44,Trogons and Quetzals,Trogons and Quetzals,Trogoniformes (Trogons and Quetzals),,
Otidiformes,26,Bustards,Bustards,Otidiformes (Bustards),,
Podicipediformes,22,Grebes,Grebes,Podicipediformes (Grebes),,
Ciconiiformes,19,Storks,Storks,Ciconiiformes (Storks),,
Sphenisciformes,18,Penguins,Penguins,Sphenisciformes (Penguins),,
Pterocliformes,16,Sandgrouse,Sandgrouse,Pterocliformes (Sandgrouse),,
Cathartiformes,7,New World Vultures,New World Vultures,Cathartiformes (New World Vultures),,
Coliiformes,6,Mousebirds,Mousebirds,Coliiformes (Mousebirds),,
Phoenicopteriformes,6,Flamingos,Flamingos,Phoenicopteriformes (Flamingos),,
Apterygiformes,5,Kiwis,Kiwis,Apterygiformes (Kiwis),,
Gaviiformes,5,Loons,Loons,Gaviiformes (Loons),,
Casuariiformes,4,Casuaries & Emu,Casuaries and Emu,Casuariiformes (Casuaries and Emu),,
Mesitornithiformes,3,Mesites,Mesites,Mesitornithiformes (Mesites),,
Phaethontiformes,3,Tropicbirds,Tropicbirds,Phaethontiformes (Tropicbirds),,
Cariamiformes,2,Seriemas,Seriemas,Cariamiformes (Seriemas),,
Eurypygiformes,2,Kagus,Kagus,Eurypygiformes (Kagus),,
Rheiformes,2,Rheas,Rheas,Rheiformes (Rheas),,
Struthioniformes,2,Ostriches,Ostriches,Struthioniformes (Ostriches),,
Leptosomiformes,1,Cuckoo roller,Cuckoo roller,Leptosomiformes (Cuckoo roller),,
Opisthocomiformes,1,Hoatzin,Hoatzin,Opisthocomiformes (Hoatzin),,
Musophagiformes,,Turacos,Turacos,Musophagiformes (Turacos),,